pid,title,body,tag,name,image,members,summary/goal,introduction,start_time,how_to_join,Community_Activities,key_contributors,token_name,token_link,token_holders,treasury,AUM,voting,forum,website,twitter,discord,wiki
NULL,DveloperDAO,"This is a DAO for people who are interested in Web3 development, providing a space for Web3 learning, social, and project collaboration.
 
If you have not mastered Web3 development, here are a lot of resources for learning.
 
If you are an experienced web3 developer, you can communicate with your peers in the technical field of interest, find developers in the same city to meet and hang out, or find projects you are interested in participating in.
 
At first glance, this is a development organization, but after a period of observation, I position them more as a social DAO, but most of the people involved here are developers. You can come in to learn, dive into tech, meet more developers online or IRL, discover new interesting projects, or initiate one by yourself and get supported.
 
I quite like their introduction on the snapshot homepage, Build web3 with friends.","Web3,Social&Club,education,creative",DveloperDAO,developerdao.jpg,3000-5000,"Onboard, Educate, & Support Web3 Developers
Foster & Build Web3 Tools & Public Goods","This is a DAO for people who are interested in Web3 development, providing a space for Web3 learning, social, and project collaboration.
 
If you have not mastered Web3 development, here are a lot of resources for learning.
 
If you are an experienced web3 developer, you can communicate with your peers in the technical field of interest, find developers in the same city to meet and hang out, or find projects you are interested in participating in.
 
At first glance, this is a development organization, but after a period of observation, I position them more as a social DAO, but most of the people involved here are developers. You can come in to learn, dive into tech, meet more developers online or IRL, discover new interesting projects, or initiate one by yourself and get supported.
 
I quite like their introduction on the snapshot homepage, Build web3 with friends.",2021.09,"They are in season0 until end of Dec.If you hold a genesis NFT, you can use that NFT to verify and join their discord server. Otherwise you will need to wait until they launch their ERC20 token and get it from open market such as uniswap.",Very high,"Nader Dabit,https://twitter.com/dabit3",Devs,https://etherscan.io/token/0x25ed58c027921e14d86380ea2646e3a1b5c55a8b?a=0x7Bd7dAd2D1f75AE105eF20c7177c4345b69aE971,,not established,,https://snapshot.org/#/devdao.eth,https://forum.developerdao.com/,https://www.developerdao.com/,https://twitter.com/developer_dao,https://discord.gg/devdao,https://developerdao.notion.site/developerdao/Developer-DAO-Wiki-eff4dcb00bef46fbaa93e9e4cf940e2e
NULL,FWB,"FWB is a random group of people on the internet, meeting each other , hanging out and working on cool projects, whether it music production, digital art, learning about crypto or even just meeting up and having a good time.

you not only get access to major benefits from exclusive events, content, and community, but you are also literally invested in the community’s success, participating in the upside of the value community create together.
","Web3,Social&Club,social impact,NFT,creative,media",FWB,fwb.jpg,2000-3000,Creating a digital city by a community focused on the future of culture.,"FWB is a random group of people on the internet, meeting each other , hanging out and working on cool projects, whether it music production, digital art, learning about crypto or even just meeting up and having a good time.

you not only get access to major benefits from exclusive events, content, and community, but you are also literally invested in the community’s success, participating in the upside of the value community create together.
",2020.9,"There are three ways to join FWB.
 1. Join as FWB members; you will need to submit an application form(can be found at their website); a member shipment counsel will review your application to determine if you are eligible for the next step. If they vote for a yes, you are ready to buy 75 FWB(about 8000$) in the market to get verified and join the FWB discord server.  
 2. Join as FWB city members; the process is similar to FWB members, but the review standard will be much easier, and the token gate is 5 FWB(about 500$). As a city member, you don't have full access to FWB general channels,  but you can access all city channels, social with other city members, and join city events.
 3. Join via scholarship program; it allows you to join FWB without any token investment. Still, there will be a community review and vote process to determine eligibility for a scholarship pass. Apply here: https://airtable.com/shrsDAcCjMisBmzO7	  
1. Join as FWB members, you will need to submit a application form(can be found at their website), a membershipment consel will review your application to determiner if you are eligible for next step. If they vote for a yes, you are ready to buy 75 FWB(about 8000$) in market to get verfied and join FWB discord server.  
2. Join as FWB city members, the process is similar to FWB members, but the review standard will be much more easier and the token gate is 5 FWB(about 500$). As a city member, you don't have full access to FWB general channels,  but you can access to all city channels and have chance to social with other city members.
3. Join via scholarship program, it give you a way to join FWB without any token investment, but they will be a community review and vote process to deteminter who will be eligable for a scholarship pass. Apply here : https://airtable.com/shrsDAcCjMisBmzO7",very high,"alex zhang,https://twitter.com/alexxzzhang;Cooper Turley,https://twitter.com/Cooopahtroopa",FWB,https://etherscan.io/token/0x35bd01fc9d6d5d81ca9e055db88dc49aa2c699a8,4515,https://etherscan.io/address/0x660f6d6c9bcd08b86b50e8e53b537f2b40f243bd,"$18,000,000 ",https://snapshot.org/#/friendswithbenefits.eth,,https://www.fwb.help/,https://twitter.com/FWBtweets,https://discord.com/invite/3jCyswsKFn,
NULL,BanklessDAO,"If you ask 100 people what banklessDAO is, you may get 101 answers. It is a vast community of 5,000 people, where people gather, chat, study, discuss projects, or design a way to help more people enter the world of Bankless. BanklessDAO is a treasure house.

But BanklessDAO is more than just a group chat. As a DAO, they worked out a funding and collaboration mechanism and formed 13 guilds. 
There are guilds responsible for legal affairs, product development, marketing, education, and more. Those guilds jointly support various projects based on the BanklessDAO mission. There are training and education projects, business consulting projects, and various welfare programs to support members.

BanklessDAO is a happy community where people can find like-minded friends and learn knowledge, or they can join various projects through the union and work for a common goal.","Social&Club,social impact,creative,media,web3",BanklessDAO,bankless.jpg,5000,"Help the world go Bankless by creating user-friendly onramps for people to discover decentralized financial technologies through education, media, and culture.","If you ask 100 people what banklessDAO is, you may get 101 answers. It is a vast community of 5,000 people, where people gather, chat, study, discuss projects, or design a way to help more people enter the world of Bankless. BanklessDAO is a treasure house.

But BanklessDAO is more than just a group chat. As a DAO, they worked out a funding and collaboration mechanism and formed 13 guilds. 
There are guilds responsible for legal affairs, product development, marketing, education, and more. Those guilds jointly support various projects based on the BanklessDAO mission. There are training and education projects, business consulting projects, and various welfare programs to support members.

BanklessDAO is a happy community where people can find like-minded friends and learn knowledge, or they can join various projects through the union and work for a common goal.",2021.5,"Most channels of the BanklessDAO discord server are open to all. But to start to chat with each other or contribute to the DAO, you will need either to have a member role or a guess pass role. To join as a member, you will need to hold at least 35,000 BANK tokens (about 3500$) in your wallet and get verified. Guess pass system provide a way for people to join and contribute without token investment. You need to finish their first quest task in the discord server and introduce yourself in get-involved. They will issue guess passes every day to those who want to contribute.",very high,"Frogmonkey,https://twitter.com/frogmonkee;Above average joe,https://twitter.com/Abv_Avg_Joe;Lucas,https://twitter.com/0x_Lucas",BANK,https://etherscan.io/token/0x2d94aa3e47d9d5024503ca8491fce9a2fb4da198,4100,,"$17,000,000 ",https://snapshot.org/#/banklessvault.eth,https://forum.bankless.community/,https://www.bankless.community/,https://twitter.com/banklessDAO,https://discord.gg/bjPz2w9Zts,https://bankless.wiki/
NULL,Forefront,"Forefront’s mission is to be the leading platform for insight across the social token community. They are pioneers exploring & building at the forefront of the Web3 playground.If the above two sentences sound difficult to understand, let me tell you what the FF community is doing. First of all, this is an open community, and anyone can join, meet new friends, and enjoy everything the community offers. This community has gathered nearly two thousand members. Everyone usually chats, socializes, learns new things together, IRL meets up and generates new ideas.

They focus on the token-based community and position themselves at the forefront of the Web3 playground as an organization. Forefront has formed three guilds (Writers Guild, Culture Guild, and Growth guild) to carry out its work.

Together, they grow the community and collaborate with others in a sustainable and fun way. They create a space where the community members can learn about tokenized communities and the internet-native economy,  incubate ideas and initiatives, and forge fruitful relationships and collaborations.

In a nut, this is a lively, friendly community where you can learn new things. What's more valuable is that there are no restrictions on joining Forefront, and anyone is welcome. If you have a strong interest in web3, DAO, you must be right here.
","Web3,creative",Forefront,forefront.jpg,2000,"Forefront is the premier social token community, creating and curating resources and spaces to help tokenized communities thrive.","Forefront’s mission is to be the leading platform for insight across the social token community. They are pioneers exploring & building at the forefront of the Web3 playground.If the above two sentences sound difficult to understand, let me tell you what the FF community is doing. First of all, this is an open community, and anyone can join, meet new friends, and enjoy everything the community offers. This community has gathered nearly two thousand members. Everyone usually chats, socializes, learns new things together, IRL meets up and generates new ideas.

They focus on the token-based community and position themselves at the forefront of the Web3 playground as an organization. Forefront has formed three guilds (Writers Guild, Culture Guild, and Growth guild) to carry out its work.

Together, they grow the community and collaborate with others in a sustainable and fun way. They create a space where the community members can learn about tokenized communities and the internet-native economy,  incubate ideas and initiatives, and forge fruitful relationships and collaborations.

In a nut, this is a lively, friendly community where you can learn new things. What's more valuable is that there are no restrictions on joining Forefront, and anyone is welcome. If you have a strong interest in web3, DAO, you must be right here.
",2021.3,Join their discord server and start to contribute; all welcome.,very high,"Carlos,https://twitter.com/carlosecgomes;Caroline,https://twitter.com/SpaceXponential",FF,https://etherscan.io/token/0x7e9d8f07a64e363e97a648904a89fb4cd5fb94cd,1200,https://etherscan.io/address/0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5,"$31,000,000 ",https://snapshot.org/#/ffdao.eth,https://forum.forefront.news/,https://www.forefront.club/,https://twitter.com/forefront__,https://discord.com/invite/9tfgWCQn6m,https://www.notion.so/ffdao/Forefront-DAO-Wiki-8e652f4d687f418fbf4b429bf70ca133
NULL,FootballDAO,"Is it crazy to buy a Football Club and use the DAO way to operate it? I don't think so. That is what footballDAO is going to do. And they are going to do more.

The core of the founding team Nathen Mcvittie is an artist, photographer, and avid football fan. He used his spare time to run a whereisfootball project for ten years. It can be seen that he loves football. With this project, he has accumulated a community with not many fans. And he also had experience involved in restarting a football club in the United States. He has also had a lot of experience cooperating with the world's top clubs in his career.

Among the other founding members, there are people who know web3 and DAO very well, and they have given a roadmap that looks decent. They also have corresponding preparations for the entities, legal affairs, due diligence, and other issues involved in the acquisition.

Their first goal is to build a large global community that pioneers new approaches to club ownership, governance, and finance in the sport, rooted in consensus building, web3 technology, and open-source use for fan communities worldwide.

After assembling this network of advocates, experts, and innovators, they will aim to expand our membership and acquire a football club — in partnership with their existing fanbase — to demonstrate through a real-world example the industry-revolutionizing potential of DAOs.

Eventually, through the use of sub-DAOs, they aim to onboard more teams into the DAO ownership and collective model, reimagine football club and industry operations through open-source, transparent web3 technology and practices, and establish tokenized football-attached communities, causes, and professions.","sport,game,social&club",FootballDAO,footballdao.jpg,300-500,"A football and sport fun community.Build a large global community that pioneers new approaches to club ownership, governance, and finance in the sport, rooted in consensus building, web3 technology, and open-source use for fan communities around the world.","Is it crazy to buy a Football Club and use the DAO way to operate it? I don't think so. That is what footballDAO is going to do. And they are going to do more.

The core of the founding team Nathen Mcvittie is an artist, photographer, and avid football fan. He used his spare time to run a whereisfootball project for ten years. It can be seen that he loves football. With this project, he has accumulated a community with not many fans. And he also had experience involved in restarting a football club in the United States. He has also had a lot of experience cooperating with the world's top clubs in his career.

Among the other founding members, there are people who know web3 and DAO very well, and they have given a roadmap that looks decent. They also have corresponding preparations for the entities, legal affairs, due diligence, and other issues involved in the acquisition.

Their first goal is to build a large global community that pioneers new approaches to club ownership, governance, and finance in the sport, rooted in consensus building, web3 technology, and open-source use for fan communities worldwide.

After assembling this network of advocates, experts, and innovators, they will aim to expand our membership and acquire a football club — in partnership with their existing fanbase — to demonstrate through a real-world example the industry-revolutionizing potential of DAOs.

Eventually, through the use of sub-DAOs, they aim to onboard more teams into the DAO ownership and collective model, reimagine football club and industry operations through open-source, transparent web3 technology and practices, and establish tokenized football-attached communities, causes, and professions.",2021.11,Join their discord server and start to contribute; all welcome.,high,"Nathen mcVittie,https://twitter.com/nathenmcvittie;paxxist,https://twitter.com/paxxist",,,,not established,,,,https://football.xyz,https://twitter.com/footballdotxyz,https://discord.com/invite/YXNbEpg6gK,https://footballxyz.notion.site/Season-0-dd7d19a3184f4d6597ac9929fb9d649d
,The Krause Houre,"If you are a basketball fan, do you want to buy an NBA team and run it yourself? I think the answer for most fans is yes.

The idea of ​​a group of fans buying an expensive NBA team sounds crazy, but if you join the Krause House community, You will find that this is not impossible.

Krause House provides a communication space for basketball fans, sports fans, and e-sports fans. Everyone can meet here and hang out.

As a member, you have the opportunity to have a lot of funs includes ：

Attend AMAs with NBA insiders, professional, collegiate, and retired players, NBA media, agents, coaches, GMs, and insiders familiar with dealmaking in the league. 

Attend Game-of-the-Week — commentary from community members  with their own pick-em style games, and maybe even some half-time entertainment! 

Learn in Krause House University — workshops for the next 10,000 crypto natives. Philanthropic Events - Getting involved in local communities and organizations like NBA Cares, ONExONE, etc.

Play on-chain fantasy games and betting for rewards and the ability to climb the leaderboards and make your case for voice into the team.

Build Open Source Software, DAO Tooling, NFT Projects, and Brand/Media Partnerships

And more importantly, they are trying to realize their dream of buying an NBA team through various attempts in the community.

Owners, media, players, and fans each play critical roles in making professional sports businesses go and flourish. While fans are arguably the single most indispensable party to this equation, they are the lowest on the totem pole when it comes to ownership by order of magnitude or higher. Historically, the reason for this disparity is that there hadn't been ways for fans to coordinate or communicate at scale. Technology has begun to disrupt this model by giving fans a common voice, first through talk radio in the 90s, online forums in 00s and more recently through social media. Fans now have more influence than ever before - but it's still lacking. This is because without ownership, fans are seen as just a noisy consumer who has to be appeased without a real seat at the table.Web3 changes all that by consumerizing ownership. With web3, consumers finally have the capability to collectively own and coordinate at scale. This changes the game. 

Buy and operate an NBA team by fans. It is not about if it will happen but how soon it will happen. 

Players don't win championships, DAO's do.","Creative,sport,game,social&club,NFT",The Krause Houre,krausehouse.jpg,1000-2000,Empowering fans to purchase & operate an NBA Team,"If you are a basketball fan, do you want to buy an NBA team and run it yourself? I think the answer for most fans is yes.

The idea of ​​a group of fans buying an expensive NBA team sounds crazy, but if you join the Krause House community, You will find that this is not impossible.

Krause House provides a communication space for basketball fans, sports fans, and e-sports fans. Everyone can meet here and hang out.

As a member, you have the opportunity to have a lot of funs includes ：

Attend AMAs with NBA insiders, professional, collegiate, and retired players, NBA media, agents, coaches, GMs, and insiders familiar with dealmaking in the league. 

Attend Game-of-the-Week — commentary from community members  with their own pick-em style games, and maybe even some half-time entertainment! 

Learn in Krause House University — workshops for the next 10,000 crypto natives. Philanthropic Events - Getting involved in local communities and organizations like NBA Cares, ONExONE, etc.

Play on-chain fantasy games and betting for rewards and the ability to climb the leaderboards and make your case for voice into the team.

Build Open Source Software, DAO Tooling, NFT Projects, and Brand/Media Partnerships

And more importantly, they are trying to realize their dream of buying an NBA team through various attempts in the community.

Owners, media, players, and fans each play critical roles in making professional sports businesses go and flourish. While fans are arguably the single most indispensable party to this equation, they are the lowest on the totem pole when it comes to ownership by order of magnitude or higher. Historically, the reason for this disparity is that there hadn't been ways for fans to coordinate or communicate at scale. Technology has begun to disrupt this model by giving fans a common voice, first through talk radio in the 90s, online forums in 00s and more recently through social media. Fans now have more influence than ever before - but it's still lacking. This is because without ownership, fans are seen as just a noisy consumer who has to be appeased without a real seat at the table.Web3 changes all that by consumerizing ownership. With web3, consumers finally have the capability to collectively own and coordinate at scale. This changes the game. 

Buy and operate an NBA team by fans. It is not about if it will happen but how soon it will happen. 

Players don't win championships, DAO's do.",2021.5,"Join their discord, start engage and contributing,all welcome. You can also check what you can help here. https://krausehouse.club/6a838b382ee4486fbc2c02e659ff36e0
",high,"James Shamenski,https://twitter.com/gladrobot;COMMODORE,https://twitter.com/thycommodore",KRAUSE,https://etherscan.io/token/0x9F6F91078A5072A8B54695DAfA2374Ab3cCd603b,700,,"$3,000,000 ",,,https://krausehouse.club/,https://twitter.com/KrauseHouseDAO,https://discord.gg/3bJwMCUEbe,https://krausehouse.club/308a8235b69143cc9ff72aa7d6021a88
,Mad Realities,"Want to make a TV show by yourself? Now there is a chance to make your dream come true.

Mad Realities is a team of creatives, visual artists, and developers building the first interactive web3 dating show with the community at its core.

The entire community will power their show — the line between the audience and the creator will blur as members of their community vote on cast members, who make it to the season finale, and what happens on dates each week. Starting with a dating show, seeing all reality TV as a content-led community, a social experience is shared. That means the content is just one piece of the experience — beyond the show; there are ways to provide value to their engaged community, whether decentralized co-creation opportunities, raffles, and giveaway.

The first season of the show will be filmed in person in NYC this Winter and will be six episodes.

If you have a passion for TV show, go to their discord server and start contributing. Everyone is welcome there. If you hold their NFT, yeah, you can even do more, including casting, contestant prep, predictions, Choose-your-own-adventure finale, or even act in the show.

NFTs will act as tickets into this new world of content and create incentive structures to reward active contributors within the community. The show is a catalyst for a new community and an opportunity to provide experiences that span across the physical world, digital world, and the metaverse.

There are two founders of this project.

Devin Lewtan — one of the minds behind the popular Clubhouse show, Shoot your Shot: NYU Girls Roasting Tech Guys. 

Alice Ma — has built products from scratch as an engineer, product manager, and founder. For years she has pursued a mission of democratizing content and information for Gen Z - and delighting folks with great software along the way.","Media,Creative",Mad Realities,madrealities.jpg,400,"Aim to make reality TV show by the community together and possibly the future of media.	  ","Want to make a TV show by yourself? Now there is a chance to make your dream come true.

Mad Realities is a team of creatives, visual artists, and developers building the first interactive web3 dating show with the community at its core.

The entire community will power their show — the line between the audience and the creator will blur as members of their community vote on cast members, who make it to the season finale, and what happens on dates each week. Starting with a dating show, seeing all reality TV as a content-led community, a social experience is shared. That means the content is just one piece of the experience — beyond the show; there are ways to provide value to their engaged community, whether decentralized co-creation opportunities, raffles, and giveaway.

The first season of the show will be filmed in person in NYC this Winter and will be six episodes.

If you have a passion for TV show, go to their discord server and start contributing. Everyone is welcome there. If you hold their NFT, yeah, you can even do more, including casting, contestant prep, predictions, Choose-your-own-adventure finale, or even act in the show.

NFTs will act as tickets into this new world of content and create incentive structures to reward active contributors within the community. The show is a catalyst for a new community and an opportunity to provide experiences that span across the physical world, digital world, and the metaverse.

There are two founders of this project.

Devin Lewtan — one of the minds behind the popular Clubhouse show, Shoot your Shot: NYU Girls Roasting Tech Guys. 

Alice Ma — has built products from scratch as an engineer, product manager, and founder. For years she has pursued a mission of democratizing content and information for Gen Z - and delighting folks with great software along the way.",Oct-21,"Bring your idea, creativity and join their discord server , all welcome.",good,"Devin Lewtan,https://twitter.com/DevinLewtan;Alice Ma,https://twitter.com/alicemama15",ZERO,https://etherscan.io/token/0xCCac1187F4439E6ff02De97B16fF40BD2E7c8080,237,,"$260,000 ",,,https://www.madrealities.xyz/,https://twitter.com/madrealities,https://discord.com/invite/G89KhwAfRQ,https://madrealities.notion.site/madrealities/Everything-66fec2a0a8de4b3e8d06ea009886d06a
,BLVKHVND ,"This is a community of avid gamers and e-sports experts. They want to ultimately change the game industry through the creativity and power of the community.

The gaming industry needs something different. Something that blends culture + gaming, something that equitably distributes value through competition, content creation, and career pathways that touch all areas of the gaming industry.

BLVDHVND was initiated by four avid game lovers, all of whom have top global rankings in multiple games. They aim to become the best and innovative esports organization, player advocates, league developers, media conglomerate, and game studio. We shouldn’t just compete, we can create. By supporting us, we can create a flourishing esports environment for casual, amateur, and pro level players.

What they do include:
Play games together to increase friendship and connection.
Train and form an e-sports team from the community to participate in various esports competitions around the world.
Create a streaming portal.
Bring blockchain games to the traditional gaming community.
Acquire blockchain game assets and build an asset lease protocol so that people can lend the assets they need to play blockchain games.

This community is full of joy, like-minded gamers, and opportunities to play their full game potential. They want expand blockchain games from a small group to a huge global gaming community. They will make it easier for gamers to enter the magical blockchain game world. For players who aspire to become professional e-sports players, they give them a chance to enter the professional field.","game,sport,social&club,media",BLVKHVND ,blvdhnvd.jpg,277,"Become the formative gaming organization powered by a community of gamers, creatives, and fans to have fun, learn, and build together while earning in the process. have fun, learn, and build together while earning in the process","This is a community of avid gamers and e-sports experts. They want to ultimately change the game industry through the creativity and power of the community.

The gaming industry needs something different. Something that blends culture + gaming, something that equitably distributes value through competition, content creation, and career pathways that touch all areas of the gaming industry.

BLVDHVND was initiated by four avid game lovers, all of whom have top global rankings in multiple games. They aim to become the best and innovative esports organization, player advocates, league developers, media conglomerate, and game studio. We shouldn’t just compete, we can create. By supporting us, we can create a flourishing esports environment for casual, amateur, and pro level players.

What they do include:
Play games together to increase friendship and connection.
Train and form an e-sports team from the community to participate in various esports competitions around the world.
Create a streaming portal.
Bring blockchain games to the traditional gaming community.
Acquire blockchain game assets and build an asset lease protocol so that people can lend the assets they need to play blockchain games.

This community is full of joy, like-minded gamers, and opportunities to play their full game potential. They want expand blockchain games from a small group to a huge global gaming community. They will make it easier for gamers to enter the magical blockchain game world. For players who aspire to become professional e-sports players, they give them a chance to enter the professional field.",2021.7,"They are accepting player who want to be trained and join their esport team, this is open to all with out any token requirement. https://airtable.com/shre3xP5c6fBqG5LQ .  To join their private discord server, you need 100 BLVD tokens (about 300 USD, can be purchased on Uniswap)  to get verified.
",high,"Sirsu,https://twitter.com/sirsuhayb;BlvKOut,https://twitter.com/BlvK0ut;icon,https://twitter.com/dillonatm",BLVD,https://etherscan.io/token/0x320d83769eb64096ea74b686eb586e197997f930,277,https://zapper.fi/account/blvkhvnd.eth,1M USD,https://snapshot.org/#/blvkhvnd.eth,,https://blvkhvnd.com/,https://twitter.com/blvkhvnd,https://discord.gg/GTy6f3wumH,
,CityDAO,"The CityDAO community is made up of ambitious and HIGHLY curious people exploring and building at the frontier of technology, governance experiments and physical land.

The vision of CityDAO is to build the city of the future on the Ethereum blockchain by experimenting with tokenizing land, rights, and governance.

They have bought land in Wyoming, which makes CityDAO the first DAO that owns the land. But this is just the beginning. They will buy more land for commercial use, generate revenue, build facilities, and eventually form a digital city that benefits all citizens.

If you have a passion for building a brand new community-owned digital/IRL city, join it, hang out with others who share some dreams, and work together to make it happen.","Social Impact,Social&club,real estate,NFT,web3",CityDAO,citydao.jpg,4700,"Build the city of the future by tokenizing land, rights, and governance.","The CityDAO community is made up of ambitious and HIGHLY curious people exploring and building at the frontier of technology, governance experiments and physical land.

The vision of CityDAO is to build the city of the future on the Ethereum blockchain by experimenting with tokenizing land, rights, and governance.

They have bought land in Wyoming, which makes CityDAO the first DAO that owns the land. But this is just the beginning. They will buy more land for commercial use, generate revenue, build facilities, and eventually form a digital city that benefits all citizens.

If you have a passion for building a brand new community-owned digital/IRL city, join it, hang out with others who share some dreams, and work together to make it happen.",2021.7,"Most channels in the discord server are open to all, and everyone is welcome to join, contribute, or just hang out with others. Check the following link to see what you can do for a contribution.
 
https://www.citydao.io/#Section-2
 
People who hold their Citizen NFT are eligible for exclusive member benefits and access to all channels and their future digital city. All Citizen NFTs were already minted, but you can buy from the market(https://rarible.com/token/0x7eef591a6cc0403b9652e98e88476fe1bf31ddeb:42) or make some solid contribution to the community to earn one.",very high,"Scott Fitsimones,https://twitter.com/scottfits",CityDAO NFT,https://etherscan.io/address/0x7eef591a6cc0403b9652e98e88476fe1bf31ddeb,4619,https://gnosis-safe.io/app/eth:0x60e7343205C9C88788a22C40030d35f9370d302D/balances,"$8,000,000 ",https://snapshot.org/#/daocity.eth,https://forum.citydao.io/,https://www.citydao.io/,https://twitter.com/CityDao,https://discord.com/invite/2pzV6wnWZx,https://citydao.notion.site/citydao/CityDAO-Public-Docs-b53259ca587041df92a152611784bbe1
,CabinDAO,"CabinDAO is an experiment in universal creator income, the physical manifestation of DAOs, and decentralized cities. 

They built a cabin made of several containers in a 45-minute drive from Austin, Texas, which can accommodate four people and provided it to creators for free for a while. After the end of the free residence, the creator's creation will be mint as NFT and sold. Half of the income goes to the creator, and half of the revenue goes to the DAO. By today, dozens of creators have lived there for at least a month.

But this is only their first City node. They will do much more than that.

As a community of independent online creators, one of the first emergent properties of the community was an interest in finding better ways to freelance online. Members of the DAO have started forming ad-hoc teams to hunt web3 bounties publish content, and collectively produce art。

Cabin's community has a particular interest in fun projects that push the boundaries at the intersection of on-chain and off-line. While these examples are whimsical, the guild ultimately is where we help community members earn a living independently online. The guild can also serve as a talent network for successful community projects to tap into and recruit other collaborators. 

They are becoming a hub for DAO tools, knowledge sharing, and retreats—all supported by the guild that has grown out of our community and residency program.

If you want to work with creators, thinkers, and other leaders in the DAO ecosystem to build the future, join them.

In the roadmap for the next 12 months, Cabin DAO will:
Run ongoing residencies and retreat via the first on-chain lease controlled by a DAO. 
Bring on community support to help manage the IRL and online communities.
Develop the guild to empower members to make money independently online.
Invest in the community via Creator Fellowships, token/NFT purchases, and equity.","real estate,creative,social impact,social&club",CabinDAO,cabin.jpg,500,"A group of independent online creators building a decentralized city, create a home for DAOs, online and IRL","CabinDAO is an experiment in universal creator income, the physical manifestation of DAOs, and decentralized cities. 

They built a cabin made of several containers in a 45-minute drive from Austin, Texas, which can accommodate four people and provided it to creators for free for a while. After the end of the free residence, the creator's creation will be mint as NFT and sold. Half of the income goes to the creator, and half of the revenue goes to the DAO. By today, dozens of creators have lived there for at least a month.

But this is only their first City node. They will do much more than that.

As a community of independent online creators, one of the first emergent properties of the community was an interest in finding better ways to freelance online. Members of the DAO have started forming ad-hoc teams to hunt web3 bounties publish content, and collectively produce art。

Cabin's community has a particular interest in fun projects that push the boundaries at the intersection of on-chain and off-line. While these examples are whimsical, the guild ultimately is where we help community members earn a living independently online. The guild can also serve as a talent network for successful community projects to tap into and recruit other collaborators. 

They are becoming a hub for DAO tools, knowledge sharing, and retreats—all supported by the guild that has grown out of our community and residency program.

If you want to work with creators, thinkers, and other leaders in the DAO ecosystem to build the future, join them.

In the roadmap for the next 12 months, Cabin DAO will:
Run ongoing residencies and retreat via the first on-chain lease controlled by a DAO. 
Bring on community support to help manage the IRL and online communities.
Develop the guild to empower members to make money independently online.
Invest in the community via Creator Fellowships, token/NFT purchases, and equity.",2021.5,"The community includes virtual and IRL spaces. Most of the broad community interaction takes place in a token-gated discord server, where members swap ideas, contribute to the DAO, and support the current cabin residents:

The IRL community is made up of cabin residents, who are selected by the DAO and come for cohorts of 1-month stays to work on creative projects. Throughout the month, residents collaborate, get support from members of the DAO community, and develop their ideas into tangible projects. 

Part of CabinDAO's discord channels is open to all. Part of them are only available to members. To join their discord server as a member, you will need CABIN token, 1 token(about 30$) will be enough. If you don't want to buy it, you can check their community-bounties channel to find a bounty that fits you and earn the CABIN token.

There are two ways to join their IRL community.
1. Buy a passport.
These Passports are NFTs that can be purchased for 1 ETH and grant four people a weeklong stay at Creator Cabins. Each Passport grants the holder a specific Monday - Sunday stay in their four-bedroom shipping container cabin. Passports are transferable to others, but they are only valid for the week listed on the NFT. 

Cabin DAO's guild of engineers, artists, writers and builders will be available to help support your group remotely. Each Passport holder will be airdropped 10 $CABIN upon arrival to keep or spend on DAO services. 

2. Apply for a free residency
Any weeks that aren't sold will be used by Cabin DAO to run our free residency program for independent online creators. When they are open, you can apply via their discord channels.",high,"Jon Hillis,https://twitter.com/JonathanHillis;Corey,https://twitter.com/DugDaniels",CABIN,https://etherscan.io/token/0x1934e252f840aa98dfce2b6205b3e45c41aef830,206,https://etherscan.io/address/0x8dca852d10c3cfccb88584281ec1ef2d335253fd,"$2,500,000 ",https://snapshot.org/#/cabindao.eth,,https://www.creatorcabins.com/,https://twitter.com/creatorcabins,https://discord.com/invite/N6hVmFygjR,https://foul-buffer-636.notion.site/Cabin-DAO-668930ccc2c64e8a958aacb2686e335f
