pid,title,body,tag,name,image,members,summary/goal,introduction,start_time,how_to_join,Community_Activities,key_contributors,token_name,token_link,token_holders,treasury,AUM,voting,forum,website,twitter,discord,wiki
NULL,1hive,"1Hive is a community that builds and experiments with decentralized applications and protocols. At the center of these experiments is an effort to build a sustainable and thriving economy around a currency called Honey, which is used to influence the direction of the community. Anyone can buy honey or earn it by contributing to 1Hive and can use it, among other things, to vote on funding proposals and protocol changes with a weight that is equal to the Honey they hold.
By optimizing how they issue and distribute Honey they hope to create a future that is more free, fair, open, and humane. ‌","Web3, Creative",1hive,1hive_400x400.png,500-1000,"A community of activists seeking to build a future that is more free, fair, open, and humane.","1Hive is a community that builds and experiments with decentralized applications and protocols. At the center of these experiments is an effort to build a sustainable and thriving economy around a currency called Honey, which is used to influence the direction of the community. Anyone can buy honey or earn it by contributing to 1Hive and can use it, among other things, to vote on funding proposals and protocol changes with a weight that is equal to the Honey they hold.
By optimizing how they issue and distribute Honey they hope to create a future that is more free, fair, open, and humane. ‌",2020/5/4,"1. Read the community covenant,join the discord and join the forum.
2. Register for Pollen - a program that tracks interactions on Github, the forum, and Discord and rewards community members with Honey on a weekly basis. 
3. Subscribe to the 1hive calendar and participate in a Swarm - on which 1Hive projects is coordinated. Each working group is independent and may have developed its own structure and processes. Find one you are interested in and ask in the corresponding channel how you can help. 
4. Submit a proposal - if you have an idea or a suggestion that hasn’t been covered elsewhere, you could consider submitting a proposal.
You can find all the link above at https://wiki.1hive.org/",high,"DogeKing,;DO$H,;solarmkd,;",HNY,https://etherscan.io/token/0xc3589f56b6869824804a5ea29f2c9886af1b0fce,57,https://blockscout.com/xdai/mainnet/address/0x47Aa2DF36e30ADa9f8Ceee54b3C8a60FD4787706/transactions,"$3,000 ",https://gardens.1hive.org/#/xdai/garden/0x8ccbeab14b5ac4a431fffc39f4bec4089020a155,https://forum.1hive.org/,https://1hive.org/,https://twitter.com/1hiveorg,https://discord.gg/NTDBRNz,https://wiki.1hive.org/
NULL,Aave Grants,"Aave is a decentralised non-custodial liquidity protocol where users can participate as depositors or borrowers.
Aave Grants DAO is a community-led grants program to fund ideas submitted by the Aave protocol’s community, with a focus on empowering a wider network of community developers. The community has allocated $1 million per quarter for two quarters for funding grants. The program will run from May 10 to November 10. The grants program was created after a community discussion, which can be found on Aave's governance forum.","Grants,DeFi",Aave Grants,AaveGrants_400x400.jpg,12000+,"To provide grants to projects, ideas, and events that benefit Aave and its ecosystem.","Aave is a decentralised non-custodial liquidity protocol where users can participate as depositors or borrowers.
Aave Grants DAO is a community-led grants program to fund ideas submitted by the Aave protocol’s community, with a focus on empowering a wider network of community developers. The community has allocated $1 million per quarter for two quarters for funding grants. The program will run from May 10 to November 10. The grants program was created after a community discussion, which can be found on Aave's governance forum.",2021/5/10,"Join the Aave Developers DAO:
Fill out the application at https://aavegrants.org/Apply-to-join-the-Developers-DAO-ac1235eca30e4833b09754e7562a670b

Apply for a grant:
Fill out the application at https://airtable.com/shrnAYUx16J8uCo59 or sharing your proposal on Aave's community forum, depending on the grants amount discribed at https://aavegrants.org/How-do-I-apply-ce626759cdfd4dd68124a1f6499515e4",high,"Shreyas Hariharan,;Aleks Larsen,;",AAVE,https://etherscan.io/token/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,"102,271",https://dune.xyz/llama/Aave-Treasury-Finances-by-Llama,"$376,130,000 ",https://snapshot.org/#/aave.eth,https://governance.aave.com/,https://aavegrants.org/,https://twitter.com/AaveGrants,https://aave.com/discord,https://docs.aave.com/portal/
NULL,AfrofutureDAO,"This is a tokenized community that aim to maintain and promote Africa's art, culture and history through Web 3. The community maintains treasury and token value by auctioning NFTs related to African art and organizing art events. On this basis, members are encouraged to participate in promoting related projects, including the establishment of the African Archivist Training Fund and the African History Preservation Fund.","Creative, NFT, Social impact",AfrofutureDAO,afrofutureDAO_400x400.jpg,Less than 100,To unlock the value of Africa's historical & cultural assets to invest into the next generation of Africans.,"This is a tokenized community that aim to maintain and promote Africa's art, culture and history through Web 3. The community maintains treasury and token value by auctioning NFTs related to African art and organizing art events. On this basis, members are encouraged to participate in promoting related projects, including the establishment of the African Archivist Training Fund and the African History Preservation Fund.",2021/3/1,"1. Complete member application
2. Acquire & hold 1000 aftr on uniswap
3. !join the discord",low,"Salim,https://twitter.com/salimcamerapix; Trupti,https://twitter.com/trupshah; Andrew,https://twitter.com/thewitzcarlton; Osinachi,https://twitter.com/osinachiart",AFTR,https://etherscan.io/token/0x56dfa98f363edb99240b63f8a5141d8b64cfaf6e,70,,,,,https://www.afrofuture.ai/,https://twitter.com/afrofutureai,https://discord.com/invite/tnDt4f8EPf,https://afrofuture.medium.com/
NULL,AladdinDAO,"AladdinDAO is a DAO that uses wisdom of crowds to make investments wiser. Using a unique voting scheme, it hopes to identify, analyze, and provide quality DeFi projects to the community members. Boule Members earn AladdinDAO tokens (ALD) as results of their participation in the DAO.
There are 4 keys roles that make the whole mechanism work: Boule Members, Talent Hunters, Boule Plus Members and Strategy Developers. Boule Members identify the most promising DeFi projects. Boule Plus members are reservists of Boule. Talent hunters are responsible for attracting and recommending potential boule candidates for the DAO. And Strategy developers are responsible for conducting technical integration of liquidity mining programs to the platform and writing strategy contracts.",Venture,AladdinDAO,AladdinDAO_400x400.jpg,500-600,Use wisdom of crowds to make investments wiser.,"AladdinDAO is a DAO that uses wisdom of crowds to make investments wiser. Using a unique voting scheme, it hopes to identify, analyze, and provide quality DeFi projects to the community members. Boule Members earn AladdinDAO tokens (ALD) as results of their participation in the DAO.
There are 4 keys roles that make the whole mechanism work: Boule Members, Talent Hunters, Boule Plus Members and Strategy Developers. Boule Members identify the most promising DeFi projects. Boule Plus members are reservists of Boule. Talent hunters are responsible for attracting and recommending potential boule candidates for the DAO. And Strategy developers are responsible for conducting technical integration of liquidity mining programs to the platform and writing strategy contracts.",2021/3/1,"Anyone can become a Boule Plus member by satisfying the following conditions:
1. Passed any one of AladdinDAO's Quiz.
2. A verifiable Twitter handle is provided.
3. Stake a certain amount of ALD.

And Boule members can be elected by the AladdinDAO community.",high,"naviSP3,https://twitter.com/naviSP3;martinkrung,https://www.twitter.com/martinkrung",ALD,https://etherscan.io/token/0xb26C4B3Ca601136Daf98593feAeff9E0CA702a8D,"3,252",https://etherscan.io/address/0x47e9517C2c179349c6C8F4a347acbeDFCA5E99Bc,"$1,875,000 ",https://vote.aladdin.club/#/,https://forum.aladdin.club/,https://aladdin.club/,https://twitter.com/aladdindao,https://discord.gg/PVUSDPAsrU,https://docs.aladdin.club/
NULL,Allships,"ALLSHIPS is a coalition of creatives, with a focus on high quality content created by their community of vetted artists. They build bridges between brands and creators, in order to provide world class visuals via a streamlined process. Their curation of talent is based upon real community connections, which ensures that every project they build reaches its maximum potential.",Creative,Allships,allshipsco_400x400.jpg,500-1000,"A creative community, dedicated to the idea that a rising tide raises all ships.","ALLSHIPS is a coalition of creatives, with a focus on high quality content created by their community of vetted artists. They build bridges between brands and creators, in order to provide world class visuals via a streamlined process. Their curation of talent is based upon real community connections, which ensures that every project they build reaches its maximum potential.",2020/8/1,"Anyone can join the discord and participate in activities organized by the community.There are also a command center requires NFTs to access named The Bridge. The Bridge allocates the Artist Fund, and artists who benefit from the fund are added to The Bridge: Artist Sector for additional support and guidance. To apply to be a Bridge Artist head over to # apply-for-artist-fund in the discord.",low,"davekrugman,https://twitter.com/dave_krugman",,,,,,,,https://allships.co/,https://twitter.com/allshipsco,https://discord.com/invite/Q5W8SuKXT9,
NULL,AnalystDAO,"AnalystDAO is a distributed equity research DAO constructed with the purpose of coordinating a collection of emerging DeFi, Web3 and NFT analysts to produce high quality digital asset research and to curate a community to hone members' craft together.
You can discuss about analyses with free thinkers around the globe with backgrounds in finance, philosophy, data science, psychology, computer science etc.","Social&Club,Research",AnalystDAO,analystDAO_400x400.jpg,Less than 100,"A distributed equity research DAO constructed with the purpose of coordinating a collection of emerging DeFi, Web3 and NFT analysts to produce high quality digital asset research  and community.","AnalystDAO is a distributed equity research DAO constructed with the purpose of coordinating a collection of emerging DeFi, Web3 and NFT analysts to produce high quality digital asset research and to curate a community to hone members' craft together.
You can discuss about analyses with free thinkers around the globe with backgrounds in finance, philosophy, data science, psychology, computer science etc.",2021/9/1,"If you're interested in being an 
analyst, writer, graphic designer, or engineer in the initial launch of Analyst Dao,you can apply at https://docs.google.com/forms/d/e/1FAIpQLSdmjuji0lH2j85bAzmuNNM8Y09pUBYHj7gUpIg_xDmwD1e_Pw/viewform.
Please attach your resume, relevant documents/links, and any other information in the form. If you're applying to be an analyst, they also require a 1 page investment thesis on a digital asset (long or short).After reviewing your applications, they will run interviews with selected candidates.
Applications for recruitment are open by season. If you have missed season 1, you can ask the time of next season in the discord.",medium,"Patrick Fitzgerald,https://twitter.com/patfitzgerald01;Noah Goldberg,https://twitter.com/TraderNoah;redphonecrypto,https://twitter.com/redphonecrypto;",,,,,,,,,https://twitter.com/AnalystDao,discord.gg/aTBkSgRUxP,
NULL,AngelDAO,"AngelDAO focused on offering support to projects driving global adoption and technological innovation for distributed systems. They have a data driven research process that they use to identify opportunities, while still maintaining a collaborative effort between DAO members to form consensus on decisions.
AngelDAO is deployed on the Aragon platform. They use a non-transferable token to represent membership. Decisions are made based on one-member-one-vote governance.",Venture,AngelDAO,analystDAO_400x400.png,unknown,A distributed systems investment collective.,"AngelDAO focused on offering support to projects driving global adoption and technological innovation for distributed systems. They have a data driven research process that they use to identify opportunities, while still maintaining a collaborative effort between DAO members to form consensus on decisions.
AngelDAO is deployed on the Aragon platform. They use a non-transferable token to represent membership. Decisions are made based on one-member-one-vote governance.",2020/12/1,You can apply jobs at https://work.angeldao.org/0035b703090641faa2a9425d032d2311?v=ef6a3257f4a74059a45183ff575ffeda or get bounties at https://work.angeldao.org/416ca268531a4058a10d92cca29c029f?v=086e929965e6408587816c49c66262ef.,unknown,"Meir Bank,https://twitter.com/MeirBank; John Gower,https://twitter.com/Blockchase;Daniel Warrick,https://twitter.com/Danuuuule",,,,,,,,https://angeldao.org/,https://twitter.com/angeldaoorg,,https://angeldao.medium.com/
NULL,BAG DAO,"The Blockchain Adventurers Guild (BAG) is a guild aiming to learn about blockchain, earn financial rewards via competing game quests about airdrops projects.
Quests are designed to teach users about blockchain finance as well as enrich adventurers for their efforts. Quests will streamline marketing efforts for projects who want to find new users and make it trivial for them to distribute rewards or airdrops. A quest can be, for example, reading a tutorial on AAVE and try out lending. The user who complete the quest will receive 100 experience points, 100 BGLD, 0.01 AAVE.
BAG is the guild token representing a share of the BAG DAO, BAG holders can make proposals and vote to influence the BAG DAO.
It is IMPORTANT to be careful that although the guild was designed as a DAO, we did not see the community treasury address made public, nor did we see the community vote for the project in the discord. Before you earn financial rewards via competing game quests, you will pay at least $20 for an avatar. We are not sure it's worth it, so be careful.",Game,BAG DAO,BAG_DAO_400x400.jpg,unknown,"A guild to learn about blockchain, earn financial rewards via competing game quests about airdrops projects.","The Blockchain Adventurers Guild (BAG) is a guild aiming to learn about blockchain, earn financial rewards via competing game quests about airdrops projects.
Quests are designed to teach users about blockchain finance as well as enrich adventurers for their efforts. Quests will streamline marketing efforts for projects who want to find new users and make it trivial for them to distribute rewards or airdrops. A quest can be, for example, reading a tutorial on AAVE and try out lending. The user who complete the quest will receive 100 experience points, 100 BGLD, 0.01 AAVE.
BAG is the guild token representing a share of the BAG DAO, BAG holders can make proposals and vote to influence the BAG DAO.
It is IMPORTANT to be careful that although the guild was designed as a DAO, we did not see the community treasury address made public, nor did we see the community vote for the project in the discord. Before you earn financial rewards via competing game quests, you will pay at least $20 for an avatar. We are not sure it's worth it, so be careful.",2021/3/1,"1. Read all the docs at https://app.thisistheway.finance/faq and https://app.thisistheway.finance/The_Blockchain_Adventurers_Guild_Brown_Paper.pdf. Be sure you understand how the whole system works.
2. Register at https://app.thisistheway.finance/register with your email or wallet.
3. Complete quests step by step. You may be asked to buy avatar for at least $20  at quest 4. We are not sure it's worth it, so be careful.
4. If you have any question, just ask them in the discord.",medium,"DonnerKebab,;slishyslice,https://twitter.com/SlishySlice;",BAG,https://etherscan.io/token/0xf33121A2209609cAdc7349AcC9c40E41CE21c730,198,,,,,https://app.thisistheway.finance/,https://twitter.com/bag_dao,https://discord.com/invite/GQ5HZWPsD6,https://app.thisistheway.finance/faq
NULL,BeetsDAO,"BeetsDAO is a private, global NFT collective first formed in the EulerBeats community amongst 58 collaborators who met on a Discord server, with a shared passion for the long-term power of NFTs.

They started their journey by winning an auction for 4 original Enigma LPs: #02, #04, #17 and #20. They made a pledge to create long-term value for the NFT community-at-large and their commitment starts with the print holders who own prints of those Enigmas.

They are also building: starting with their Snoop x Nyan Cat collaboration with more to come in music, art, film, metaverse real estate and generative/algorithmic development. ","NFT,Creative",BeetsDAO,BeetsDAO_400x400.jpg,Less than 100,"A private, global NFT collective with a shared passion for the long-term power of NFTs.","BeetsDAO is a private, global NFT collective first formed in the EulerBeats community amongst 58 collaborators who met on a Discord server, with a shared passion for the long-term power of NFTs.

They started their journey by winning an auction for 4 original Enigma LPs: #02, #04, #17 and #20. They made a pledge to create long-term value for the NFT community-at-large and their commitment starts with the print holders who own prints of those Enigmas.

They are also building: starting with their Snoop x Nyan Cat collaboration with more to come in music, art, film, metaverse real estate and generative/algorithmic development. ",2021/3/1,"Their round 2 membership round is now closed to further members. To be notified when membership opportunities may arise, fill the form at https://www.beetsdao.com/#get-involved, and they will put you on a waiting list for future membership consideration. Note that BeetsDAO has a lifetime cap of 99 governance seats.
Although BeetsDAO's governance seats are now closed.The collaborator network, with a hard cap of 800 has opened in October 2021.",medium,"Jordan Garbis,;_noxcuse,https://twitter.com/noxcusej;",BEETS,https://etherscan.io/token/0xa8a44d8c221e40a0c9b5e6c2168efc19e77aba1c,79,,,,,https://www.beetsdao.com/,https://twitter.com/beetsdao,https://discord.com/invite/UJSvT3wP8F,
NULL,BitDAO,"BitDAO is a DAO of grants and venture who looks up to partner with projects through token swaps, co-development efforts and providing grants. 
Swap — they aim to token swap and accumulate a collection of the top existing and emerging DeFi and crypto projects.
Build — they aim to build core products which enable BitDAO or other DAOs to function more effectively including governance suite and treasury Management.
Grant — they aim to provide grants to teams that produce research or products that are public goods for the crypto industry. One possibility is to match Gitcoin grants.","Grants,Venture",BitDAO,BitDAO_400x400.jpg,2000+,"To provide support in the form of  research and development, liquidity boot strapping, and funding of open finance and a decentralized tokenized economy.","BitDAO is a DAO of grants and venture who looks up to partner with projects through token swaps, co-development efforts and providing grants. 
Swap — they aim to token swap and accumulate a collection of the top existing and emerging DeFi and crypto projects.
Build — they aim to build core products which enable BitDAO or other DAOs to function more effectively including governance suite and treasury Management.
Grant — they aim to provide grants to teams that produce research or products that are public goods for the crypto industry. One possibility is to match Gitcoin grants.",2021/4/1,"You can be a community member, contributor, partner or token holder.
Community Members: Non-token holders can participate in their forum and social media, and share ideas. Good ideas may be adopted by BIT token holders. Community leaders may be provided with delegated votes.
Contributors: Individuals or teams that can help develop BitDAO protocols, or work to arrange due diligence and token swaps with other projects, and request grants from BitDAO.
Partners: They welcome any DeFi or CeFi project that can contribute to BitDAO, or are willing to look for ways for their protocols to work together.
Token Holders: BIT token holders can propose and vote on the direction of BitDAO and the use of BitDAO treasury assets.",high,"JΞ,; Kirby Ong,https://twitter.com/kirbyongeo;deefs,;",BIT,https://etherscan.io/token/0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5,"13,723",https://etherscan.io/address/0x78605Df79524164911C144801f41e9811B7DB73D,"$613,288,652 ",https://snapshot.org/#/bitdao.eth,https://discourse.bitdao.io/,https://www.bitdao.io/,https://twitter.com/bitdao_official,https://discord.com/invite/KU4jG84QTW,https://bitdao.notion.site/bitdao/BitDAO-Community-5a43b5ee21594cb7ab41236d8d8f0a31
